"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"Coupon ${0} is not applicable for applied items.",,
"Coupon Code",,
"Coupon Name",,
Coupons,,
Courier,,
Cr.,,
"Cr. ${0}",,
Create,Crear,
"Create Demo",,
"Create Payment.",,
"Create Purchase",,
"Create Purchase Invoice",,
"Create Sale",,
"Create Sales Invoice",,
"Create a demo company to try out LiveBooks Desktop",,
"Create a new company and store it on your computer",,
"Create a new company or select an existing one from your computer",,
"Create a new entry of the same type as the List View",,
"Create all due",,
"Create new ${0} entry?",,
"Create your first purchase invoice from the created supplier",,
"Create your first sales invoice for the created customer",,
"Create: ${0}",,
Created,,
"Created ${0} recurring payments",,
"Created 1 recurring payment",,
"Created At",,
"Created By",,
"Created recurring payment",,
"Creating Items and Parties",,
"Creating Journal Entries",,
"Creating Purchase Invoices",,
Credit,Crèdit,
"Credit Card Entry","Entrada de targeta de crèdit",
"Credit Note","Nota de crèdit",
"Credit card",,
"Credit column (optional)",,
Creditors,Creditors,
Currency,Divisa,
"Currency Name","Nom de la divisa",
Current,Actual,
"Current Assets","Actius actuals",
"Current Liabilities","Obligacions actuals",
"Custom Field",,
"Custom Fields",,
"Custom Form",,
"Custom Hex","Hexadecimal personalitzat",
Customer,Customer,
"Customer / vendor",,
"Customer Created","Client creat",
"Customer Currency","Divisa del client",
"Customer has no loyalty points to redeem",,
Customers,Clients,
"Customers & Suppliers",,
Customizations,,
"Customize Form",,
"Customize your invoices by adding a logo and address details","Personalitza les teves factures afegint-hi un logotip i l'adreça",
Daily,,
"Dark mode",,
Dashboard,Tauler,
Data,,
"Data Sync Interval (In Minutes)",,
"Database Error",,
Date,Data,
"Date Format","Format de la data",
"Date Time",,
Day,,
Days,,
Debit,Dèbit,
"Debit Note","Nota de dèbil",
"Debit column (optional)",,
Debtors,Deutors,
December,,
"Decrease print template display scale",,
Default,,
"Default Account","Compte per defecte",
"Default Cash Denominations",,
"Default Location",,
Defaults,,
Delete,Eliminar,
"Delete ${0}?",,
"Delete Account",,
"Delete Failed",,
"Delete Group",,
"Delete Permanently",,
"Delete account",,
"Delete account and disconnect bank from Plaid?",,
"Delete and disconnect institution",,
"Delete this account?",,
"Deleted ${0} account(s).",,
"Deleted imported lines by mistake? Re-queue batches LiveBooks Cloud still has (typically within 90 days). This replays saved imports — it does not fetch brand-new bank history from Plaid or undo journals you posted. Then open Bank Account Activity for each mapped ledger account.",,
Delivered,,
Denomination,,
Deposit,,
"Deposits and income (match the deposits column on your statement).",,
Depreciation,Depreciació,
"Depreciation Entry","Entrada de depreciació",
Description,Descripció,
Details,Detalls,
"Device ID",,
"Device Id",,
"Device is offline. Please connect to a network to continue.",,
Difference,,
"Difference Amount",,
"Direct Expenses","Despeses directes",
"Direct Income","Ingressos directes",
"Directory for database file ${0} does not exist, please select the file manually",,
Disabled,,
"Disabled (archived)",,
Disconnect,,
"Disconnect Feed",,
"Disconnect Feed pauses imports for that account. The mapping stays; use Reactivate feed to resume.",,
"Disconnect LiveBooks Cloud?",,
"Disconnect entire bank from Plaid?",,
"Disconnect feed",,
"Disconnect feed?",,
"Disconnect institution",,
"Disconnect this computer",,
"Disconnected from LiveBooks Cloud",,
"Disconnecting the last account for a bank removes the whole Plaid connection until you connect again.",,
"Discount Account",,
"Discount Account is not set.",,
"Discount Amount",,
"Discount Amount (${0}) cannot be greated than Amount (${1}).",,
"Discount Percent",,
"Discount Percent (${0}) cannot be greater than 100.",,
"Discount Percentage",,
"Discount Type",,
"Discounted Amount",,
Discounts,,
Discrepancy,,
Dismiss,,
"Display Amount In Words",,
"Display Description In Invoice",,
"Display Doc",,
"Display Logo in Invoice","Mostra el logotip a la factura",
"Display Precision","Precisió de la pantalla",
"Display Precision should have a value between 0 and 9.","Precisión de la pantalla ha de tenir un valor entre 0 i 9.",
"Display Scale",,
"Display Terms and Conditions",,
"Display Time In Invoice",,
"Display Zoom",,
"Dividends Paid","Divindends pagats",
"Do not Contact",,
"Doc ${0} ${1} not set",,
Docs,,
Document,,
"Document Name",,
"Document No.",,
Documentation,Documentació,
"Does Not Contain","No conté",
Done,,
"Done. New files: ${0}",,
Dr.,,
"Dr. ${0}",,
Draft,Esborrany,
Duplicate,Duplicar,
"Duplicate Entry",,
"Duplicate Template",,
"Duplicate columns found: ${0}",,
"Duties and Taxes","Deures i taxes",
"Dynamic Link",,
"ERP Sync Items",,
"ERPNext Sync Queue",,
"ERPNext Sync Settings",,
"Earnest Money","Paga i senyal",
Edit,,
Eight,,
Eighteen,,
Eighty,,
"Electronic Equipments","Equips electrònics",
Eleven,,
Email,"Correu electrònic",
"Email Address","Correu electrònic",
Empty,Buit,
"Empty file selected",,
"Empty payload",,
"Enable Barcodes",,
"Enable Batches",,
"Enable Coupon Code",,
"Enable Discount Accounting",,
"Enable ERPNext Sync",,
"Enable Form Customization",,
"Enable Inventory",,
"Enable Invoice Returns",,
"Enable Item Enquiry",,
"Enable Item Group",,
"Enable Lead",,
"Enable Loyalty Program",,
"Enable Partial Payment",,
"Enable Partial payment to pay partial amount",,
"Enable Point of Sale",,
"Enable Price List",,
"Enable Pricing Rule",,
"Enable Serial Number",,
"Enable UOM Conversion",,
Enabled,,
"Enabled For",,
"Ending balance",,
"Ending balance (target)",,
Endpoints,,
"Enter Country to load States",,
"Enter State",,
"Enter account name, opening date, and opening balance.",,
"Enter barcode",,
"Enter the closing balance from your PDF (for example 5200.00).",,
"Enter the period end and closing balance from your bank PDF. After you import CSV lines below, the reconcile workbench compares line totals to this balance.",,
"Enter the statement end date and closing balance from your PDF.",,
"Enter the statement end date from your PDF.",,
"Enter weight barcode",,
"Enter your LiveBooks Cloud authenticator or backup code to continue.",,
"Enter your LiveBooks Cloud authenticator or backup code to link a bank account.",,
"Enter your LiveBooks Cloud authenticator or backup code to sync bank statements.",,
"Enter your LiveBooks Cloud authenticator or backup code to view bank feed status.",,
"Enter your statement details, then match withdrawals to Money out and deposits to Money in—the same layout as most bank PDFs.",,
"Entertainment Expenses","Despeses d'entreteniment",
Entry,,
"Entry Currency",,
"Entry Label",,
"Entry No","Número de l'entrada",
"Entry No.",,
"Entry Type","Tipus d'entrada",
"Entry has Grand Total ${0}. Please verify amounts.",,
"Entry type",,
Equity,Capital,
Error,Error,
"Exchange Gain/Loss","Canvi de guanys/pèrdues",
"Exchange Rate","Taxa d'intercanvi",
"Exchange Rate Cache",,
"Exchange rate is unavailable offline. Connect to the internet or set the rate manually.",,
"Excise Entry","Entrada d'impostos especials",
Exclude,,
Excluded,,
"Excluded count",,
"Excluded transactions stay out of your ledger and reconciliation math. Restore brings a row back to For Review.",,
"Existing Company",,
Expand,,
"Expected Amount",,
Expense,Despesa,
"Expense Account",,
Expenses,Despeses,
"Expenses Included In Valuation","Despeses incloses en el valor",
Expired,,
"Expiry Date",,
"Expiry Duration",,
Export,Exportar,
"Export (CSV)",,
"Export Failed",,
"Export Format",,
"Export Successful","Exportació correcta",
"Export Wizard",,
"External id",,
"FBooks Integration Version",,
Failed,,
"Failed to finish reconcile.",,
"Failed to load batches",,
Fax,Fax,
Features,,
February,,
"Feed disconnected for this account. Other accounts at this institution may keep syncing.",,
"Feed paused — reactivate to import again",,
"Feed reactivated. Imports will resume on the next sync.",,
"Feed version",,
"Feed window",,
"Fetch Data From ERPNext",,
"Fetch From ERPNext Queue",,
Field,,
Fieldname,Nom,
"Fieldname ${0} already exists for ${1}",,
"Fieldname ${0} already used for Custom Field ${1}",,
Fieldtype,,
Fifteen,,
Fifty,,
"File ${0} does not exist.",,
"File selection failed",,
"Fill date, payee, category, and a non-zero amount.",,
Filter,Filtre,
"Filter by Group",,
"Finish Reconcile",,
"Fiscal Year",,
"Fiscal Year End Date","Data de finalització de l'any fiscal",
"Fiscal Year Start Date","Data d'inici de l'any fiscal",
Five,,
"Fix Failed",,
"Fixed Asset",,
"Fixed Assets","Actius fixes",
Float,,
Floor,,
"Following cells have errors: ${0}.",,
"Following links do not exist: ${absentLinks .map((l) =>",,
Font,Font,
"For Purchase",,
"For Review",,
"For Sales",,
"Forbidden Error",,
"Form Section",,
"Form Tab",,
"Form Type",,
Forty,,
Four,,
Fourteen,,
Fr,,
Fraction,Fracció,
"Fraction Units","Unitats de fracció",
"Free Item",,
"Free item ""${0}"" was not added due to zero quantity",,
"Free items out of stock: ${0}",,
"Freight and Forwarding Charges","Càrregues de transport i reenviaments",
Frequency,,
From,,
"From Account","Compte d'arribada",
"From Account and To Account cannot be the same.",,
"From Date","Des de",
"From Lead",,
"From Loc.",,
"From Year",,
"From date",,
"From your last reconcile (locked).",,
"Full Name","Nom complet",
"Furnitures and Fixtures","Mobiliari i reparacions",
GST,,
"GSTIN No.","GSTIN No.",
GSTR1,GSTR1,
GSTR2,GSTR2,
"Gain/Loss on Asset Disposal","Guanys/pèrdues dels actius disposats",
General,General,
"General Ledger","Llibre de comptabilidad general",
"Get Started",Introducció,
"Give feedback",,
Global,,
"Go back to the previous page",,
"Got two minutes? Tell us what’s broken and whether you’d use encrypted cloud backup.",,
Gram,,
"Grand Total",Total,
"Greater Than","Més gran que",
Green,,
"Grid View",,
"Group By",,
"Group Deleted",,
HSN/SAC,HSN/SAC,
"HSN/SAC Code",,
"Half Yearly","Mitja anual",
"Half Years",,
"Has Batch",,
"Has Serial Number",,
"Height (in cm)",,
Held,,
"Held Button Colour",,
Help,,
"Hex Value","Valor hexadecimal",
"Hidden values will be visible on Print on.",,
"Hide Get Started","Amaga l'introducció",
"Hide Group Amounts",,
"Hide Month/Year",,
"Hide Unavailable Items",,
"Hide debit/credit and reference columns",,
"Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.","Amaga la secció d'introducció de la barra lateral. El canvi serà efectiu quan reiniciis o refresquis l'aplicació.",
"History of cleared transactions. Click Undo to send a row back to For Review. If a row is already reconciled, you'll be warned before it can throw off your beginning balance.",,
"Hold Q and type digits to set selected item quantity",,
Hour,,
Hundred,,
"I've verified — try again",,
ID,,
INR,,
"If any entry form is open, save the details. Otherwise, save the invoice.",,
