"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"Cannot Export","Não foi possivel exportar",
"Cannot Import","Não foi possível importar",
"Cannot Move",,
"Cannot Open File","Não foi possível abrir o arquivo",
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","Não foi possivel cancelar ${0} ${1} devido ${2}: ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}","Não foi possível cancelar ${0} devido ${1}: ${2}",
"Cannot delete ""${0}"" because it has linked ledger entries or other references.",,
"Cannot delete ${0} ""${1}"" because of linked entries.","Não foi possivel cnacelar ${0}: ${1} devido a registros ligados",
"Cannot make recurring",,
"Cannot open file","Não foi possível abrir o arquivo",
"Cannot perform operation.","Não foi possível realizar a operação",
"Cannot read file","Não foi possível ler o arquivo",
"Capital Equipments","Equipamentos de Capital",
"Capital Stock","Capital social",
Cash,Dinheiro,
"Cash Denominations",Moeda/Nota,
"Cash Entry","Registro de Caixa",
"Cash In Denominations",,
"Cash In Hand",Caixa,
Cashflow,"Fluxo de caixa",
Category,,
"Category is required.",,
Ceil,,
"Central Tax","Imposto Central",
"Change File","Modificar Arquivo",
"Change Ref Type","Modificar tipo de Referência",
"Changes made to settings will be visible on reload.","As alterações só serão visíveis depois de carregar",
Chargeable,,
"Chart Of Accounts Reviewed","Plano de Contas Revisado",
"Chart of Accounts","Plano de contas",
"Chart of accounts (bank)",,
Check,Verificar,
"Check Digits",,
"Check for updates",,
"Checked in the reconcile workbench for this session.",,
"Checking for updates…",,
"Cheque Register",,
"Choose a chart of accounts bank account before saving.",,
"City / Town",Cidade,
Classic,,
Clear,Limpar,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","Data de Apuramento",
"Clearance Date not set.",,
Cleared,,
"Cleared balance",,
"Click Refresh to retry. If retries keep failing, contact support.",,
"Clicking continue will remove all the selected items.",,
"Client Seq",,
Close,Fechar,
"Close LiveBooks Desktop and try manually.",,
"Close POS Shift","Fechar o PDV",
"Close Quick Search","Fechar a Busca Rápida",
Closed,,
"Closed at",,
Closing,Fechando,
"Closing ${0} Amount can not be negative.","O valor de Fechamento ${0} não pode ser negativo.",
"Closing (Cr)","Encerramento (Cr)",
"Closing (Dr)","Encerramento (Dr)",
"Closing Amount","Valor de Fechamento",
"Closing Amounts",,
"Closing Cash",,
